Date,Open,High,Low,Close,Adj Close,Volume
20-02-2025,"96,628.40","98,722.29","96,481.41","98,347.95","98,347.95","31,32,72,36,096"
19-02-2025,"95,532.53","96,855.59","95,011.97","96,635.61","96,635.61","28,99,08,72,862"
18-02-2025,"95,773.81","96,695.38","93,388.84","95,539.55","95,539.55","37,32,57,20,482"
17-02-2025,"96,179.01","97,032.23","95,243.55","95,773.38","95,773.38","27,33,65,50,690"
16-02-2025,"97,580.49","97,725.59","96,060.98","96,175.03","96,175.03","16,53,67,55,396"
15-02-2025,"97,508.38","97,975.04","97,240.20","97,580.35","97,580.35","17,04,72,66,288"
14-02-2025,"96,623.37","98,819.47","96,342.80","97,508.97","97,508.97","32,69,79,87,277"
13-02-2025,"97,888.75","98,111.09","95,269.71","96,623.87","96,623.87","37,14,72,80,860"
12-02-2025,"95,745.70","98,151.02","94,101.20","97,885.86","97,885.86","49,34,04,45,530"
11-02-2025,"97,438.13","98,492.90","94,875.04","95,747.43","95,747.43","37,48,87,83,272"
10-02-2025,"96,499.46","98,333.22","95,320.84","97,437.55","97,437.55","40,07,89,62,391"
09-02-2025,"96,481.31","97,325.28","94,745.26","96,500.09","96,500.09","27,73,29,01,800"
08-02-2025,"96,533.26","96,877.80","95,702.49","96,482.45","96,482.45","22,44,75,26,395"
07-02-2025,"96,581.32","1,00,154.14","95,653.88","96,529.09","96,529.09","55,74,12,90,456"
06-02-2025,"96,610.64","99,168.61","95,707.35","96,593.30","96,593.30","45,30,24,71,947"
05-02-2025,"97,878.01","99,113.21","96,174.83","96,615.45","96,615.45","49,12,59,11,241"
04-02-2025,"1,01,398.72","1,01,745.62","96,208.11","97,871.82","97,871.82","73,00,21,30,211"
03-02-2025,"97,681.10","1,02,514.17","91,242.89","1,01,405.42","1,01,405.42","1,15,40,08,97,748"
02-02-2025,"1,00,661.54","1,01,430.66","96,216.08","97,688.98","97,688.98","63,09,18,16,853"
01-02-2025,"1,02,402.80","1,02,755.73","1,00,297.71","1,00,655.91","1,00,655.91","27,75,79,44,848"
31-01-2025,"1,04,737.56","1,06,026.35","1,01,543.88","1,02,405.02","1,02,405.02","45,73,27,64,360"
30-01-2025,"1,03,709.34","1,06,418.77","1,03,321.65","1,04,735.30","1,04,735.30","41,91,57,44,521"
29-01-2025,"1,01,317.52","1,04,750.80","1,01,283.82","1,03,703.21","1,03,703.21","47,43,20,49,818"
28-01-2025,"1,02,095.41","1,03,730.82","1,00,238.19","1,01,332.48","1,01,332.48","47,18,06,85,494"
27-01-2025,"1,02,680.30","1,03,214.11","97,795.94","1,02,087.69","1,02,087.69","89,00,66,08,428"
26-01-2025,"1,04,713.21","1,05,438.65","1,02,507.71","1,02,682.50","1,02,682.50","22,54,33,95,879"
25-01-2025,"1,04,824.03","1,05,243.79","1,04,120.38","1,04,714.65","1,04,714.65","23,88,89,96,502"
24-01-2025,"1,03,965.67","1,07,098.55","1,02,772.13","1,04,819.48","1,04,819.48","52,38,82,29,265"
23-01-2025,"1,03,657.67","1,06,820.33","1,01,257.80","1,03,960.17","1,03,960.17","1,04,10,45,15,428"
22-01-2025,"1,06,136.38","1,06,294.34","1,03,360.27","1,03,653.07","1,03,653.07","53,87,81,81,052"
21-01-2025,"1,02,052.58","1,07,180.92","1,00,103.95","1,06,146.27","1,06,146.27","88,73,38,78,242"
20-01-2025,"1,01,083.75","1,09,114.88","99,471.36","1,02,016.66","1,02,016.66","1,26,27,96,78,351"
19-01-2025,"1,04,411.29","1,06,299.80","99,570.53","1,01,089.61","1,01,089.61","76,78,99,28,525"
18-01-2025,"1,04,124.95","1,04,913.20","1,02,226.62","1,04,408.07","1,04,408.07","50,44,56,55,726"
17-01-2025,"1,00,025.77","1,05,884.23","99,948.91","1,04,462.04","1,04,462.04","71,88,89,72,663"
16-01-2025,"1,00,505.30","1,00,781.59","97,364.45","99,756.91","99,756.91","54,10,37,81,805"
15-01-2025,"96,534.05","1,00,697.23","96,501.64","1,00,504.49","1,00,504.49","57,80,59,23,627"
14-01-2025,"94,519.01","97,352.66","94,322.16","96,534.05","96,534.05","53,76,96,75,818"
13-01-2025,"94,488.89","95,837.00","89,260.10","94,516.52","94,516.52","72,97,89,98,252"
12-01-2025,"94,565.73","95,367.54","93,712.51","94,488.44","94,488.44","20,88,51,30,965"
11-01-2025,"94,700.84","94,977.69","93,840.05","94,566.59","94,566.59","18,86,08,94,100"
10-01-2025,"92,494.49","95,770.61","92,250.09","94,701.45","94,701.45","62,05,86,93,684"
09-01-2025,"95,043.48","95,349.72","91,220.84","92,484.04","92,484.04","62,77,72,61,693"
08-01-2025,"96,924.16","97,258.32","92,525.84","95,043.52","95,043.52","63,87,58,59,171"
07-01-2025,"1,02,248.85","1,02,712.48","96,132.88","96,922.70","96,922.70","58,68,57,38,547"
06-01-2025,"98,314.95","1,02,482.88","97,926.15","1,02,078.09","1,02,078.09","51,82,34,32,705"
05-01-2025,"98,233.91","98,813.30","97,291.77","98,314.96","98,314.96","20,52,52,54,825"
04-01-2025,"98,106.99","98,734.43","97,562.98","98,236.23","98,236.23","22,34,26,08,078"
03-01-2025,"96,881.73","98,956.91","96,034.62","98,107.43","98,107.43","35,61,13,91,163"
02-01-2025,"94,416.29","97,739.82","94,201.57","96,886.88","96,886.88","46,00,95,64,411"
01-01-2025,"93,425.10","94,929.87","92,788.13","94,419.76","94,419.76","24,51,98,88,919"
31-12-2024,"92,643.25","96,090.60","91,914.03","93,429.20","93,429.20","43,62,51,06,843"
30-12-2024,"93,527.20","94,903.32","91,317.13","92,643.21","92,643.21","56,18,80,03,691"
29-12-2024,"95,174.05","95,174.88","92,881.79","93,530.23","93,530.23","29,63,58,85,267"
28-12-2024,"94,160.19","95,525.90","94,014.29","95,163.93","95,163.93","24,10,74,36,185"
27-12-2024,"95,704.98","97,294.84","93,310.74","94,164.86","94,164.86","52,41,99,34,565"
26-12-2024,"99,297.70","99,884.57","95,137.88","95,795.52","95,795.52","47,05,49,80,873"
25-12-2024,"98,675.91","99,478.75","97,593.47","99,299.20","99,299.20","33,70,03,94,629"
24-12-2024,"94,684.34","99,404.06","93,448.02","98,676.09","98,676.09","47,11,49,53,674"
23-12-2024,"95,099.39","96,416.21","92,403.13","94,686.24","94,686.24","65,23,90,02,919"
22-12-2024,"97,218.32","97,360.27","94,202.19","95,104.94","95,104.94","43,14,79,81,314"
21-12-2024,"97,756.20","99,507.10","96,426.52","97,224.73","97,224.73","51,76,53,34,294"
20-12-2024,"97,484.70","98,098.91","92,175.18","97,755.93","97,755.93","1,05,63,40,83,408"
19-12-2024,"1,00,070.69","1,02,748.15","95,587.68","97,490.95","97,490.95","97,22,16,62,392"
18-12-2024,"1,06,147.30","1,06,470.61","1,00,041.54","1,00,041.54","1,00,041.54","93,86,56,56,139"
17-12-2024,"1,06,030.69","1,08,268.45","1,05,291.73","1,06,140.60","1,06,140.60","68,58,93,64,868"
16-12-2024,"1,04,293.58","1,07,780.58","1,03,322.98","1,06,029.72","1,06,029.72","91,02,04,17,816"
15-12-2024,"1,01,373.53","1,05,047.54","1,01,227.03","1,04,298.70","1,04,298.70","51,14,59,14,137"
14-12-2024,"1,01,451.44","1,02,618.88","1,00,634.05","1,01,372.97","1,01,372.97","40,42,29,68,793"
13-12-2024,"1,00,046.65","1,01,888.80","99,233.28","1,01,459.26","1,01,459.26","56,89,47,51,583"
12-12-2024,"1,01,167.80","1,02,524.91","99,339.95","1,00,043.00","1,00,043.00","72,07,39,83,533"
11-12-2024,"96,656.06","1,01,913.36","95,747.23","1,01,173.03","1,01,173.03","85,39,14,09,936"
10-12-2024,"97,441.23","98,270.16","94,321.26","96,675.43","96,675.43","1,04,82,37,80,634"
09-12-2024,"1,01,237.06","1,01,272.51","94,355.91","97,432.72","97,432.72","1,10,67,64,73,908"
08-12-2024,"99,921.91","1,01,399.99","98,771.52","1,01,236.02","1,01,236.02","44,12,57,51,925"
07-12-2024,"99,916.71","1,00,563.38","99,030.88","99,923.34","99,923.34","44,17,75,10,897"
06-12-2024,"97,074.23","1,02,039.88","96,514.88","99,920.71","99,920.71","94,53,47,72,658"
05-12-2024,"98,741.54","1,03,900.47","91,998.78","96,593.57","96,593.57","1,49,21,89,45,580"
04-12-2024,"95,988.53","99,207.33","94,660.52","98,768.53","98,768.53","77,19,98,17,112"
03-12-2024,"95,854.59","96,297.20","93,629.56","96,002.16","96,002.16","67,06,78,10,961"
02-12-2024,"97,276.01","98,152.60","94,482.87","95,865.30","95,865.30","72,68,07,84,305"
01-12-2024,"96,461.34","97,888.13","95,770.19","97,279.79","97,279.79","36,59,06,95,296"
30-11-2024,"97,468.81","97,499.34","96,144.22","96,449.05","96,449.05","31,63,42,27,866"
29-11-2024,"95,653.95","98,693.17","95,407.88","97,461.52","97,461.52","54,96,86,82,476"
28-11-2024,"95,954.95","96,650.20","94,677.35","95,652.47","95,652.47","52,26,00,08,261"
27-11-2024,"91,978.14","97,361.18","91,778.66","95,962.53","95,962.53","71,13,34,52,438"
26-11-2024,"93,087.28","94,991.75","90,770.81","91,985.32","91,985.32","91,65,65,19,855"
25-11-2024,"98,033.45","98,935.03","92,642.91","93,102.30","93,102.30","80,90,94,62,490"
24-11-2024,"97,778.09","98,647.18","95,788.08","98,013.82","98,013.82","51,71,20,20,623"
23-11-2024,"99,006.74","99,014.68","97,232.89","97,777.28","97,777.28","44,41,46,44,677"
22-11-2024,"98,496.43","99,655.50","97,222.66","98,997.66","98,997.66","78,47,35,80,551"
21-11-2024,"94,334.64","99,014.22","94,132.60","98,504.73","98,504.73","1,06,02,45,05,582"
20-11-2024,"92,341.89","94,902.02","91,619.50","94,339.49","94,339.49","71,73,09,56,426"
19-11-2024,"90,536.81","94,002.87","90,426.98","92,343.79","92,343.79","74,52,10,48,295"
18-11-2024,"89,843.72","92,596.79","89,393.59","90,542.64","90,542.64","75,53,57,75,084"
17-11-2024,"90,558.46","91,433.04","88,741.66","89,845.85","89,845.85","46,35,01,59,305"
16-11-2024,"91,064.37","91,763.95","90,094.23","90,558.48","90,558.48","44,33,31,92,814"
15-11-2024,"87,284.18","91,868.74","87,124.90","91,066.01","91,066.01","78,24,31,09,518"
14-11-2024,"90,574.88","91,765.22","86,682.81","87,250.43","87,250.43","87,61,67,05,248"
13-11-2024,"87,929.97","93,434.35","86,256.93","90,584.16","90,584.16","1,23,55,90,27,869"
12-11-2024,"88,705.56","89,956.88","85,155.11","87,955.81","87,955.81","1,33,67,32,85,375"
11-11-2024,"80,471.41","89,604.50","80,283.25","88,701.48","88,701.48","1,17,96,68,45,037"
10-11-2024,"76,775.55","81,474.42","76,565.43","80,474.19","80,474.19","82,57,05,94,495"
09-11-2024,"76,556.19","76,932.77","75,773.79","76,778.87","76,778.87","29,00,94,80,361"
08-11-2024,"75,902.84","77,252.75","75,648.74","76,545.48","76,545.48","55,17,68,58,003"
07-11-2024,"75,637.09","76,943.12","74,480.42","75,904.86","75,904.86","63,46,76,54,989"
06-11-2024,"69,358.50","76,460.16","69,322.03","75,639.08","75,639.08","1,18,59,26,53,963"
05-11-2024,"67,811.17","70,522.79","67,458.87","69,359.56","69,359.56","46,04,68,89,204"
04-11-2024,"68,742.13","69,433.18","66,803.65","67,811.51","67,811.51","41,18,48,19,348"
03-11-2024,"69,296.38","69,361.66","67,482.52","68,741.12","68,741.12","34,86,83,07,655"
02-11-2024,"69,486.02","69,867.35","69,033.72","69,289.27","69,289.27","18,18,46,12,091"
01-11-2024,"70,216.90","71,559.02","68,779.70","69,482.47","69,482.47","49,98,97,95,365"
31-10-2024,"72,335.05","72,662.31","69,590.50","70,215.19","70,215.19","40,62,79,12,076"
30-10-2024,"72,715.37","72,905.30","71,411.73","72,339.54","72,339.54","40,64,66,37,831"
29-10-2024,"69,910.05","73,577.21","69,729.91","72,720.49","72,720.49","58,54,18,74,402"
28-10-2024,"67,922.67","70,212.27","67,535.13","69,907.76","69,907.76","38,79,98,56,657"
27-10-2024,"67,023.48","68,221.31","66,847.23","67,929.30","67,929.30","16,72,13,07,878"
26-10-2024,"66,628.73","67,317.92","66,360.59","67,014.70","67,014.70","19,58,80,98,156"
25-10-2024,"68,165.30","68,722.16","65,521.79","66,642.41","66,642.41","41,46,99,84,306"
24-10-2024,"66,653.70","68,798.96","66,454.10","68,161.05","68,161.05","31,41,44,28,647"
23-10-2024,"67,362.38","67,402.74","65,188.04","66,432.20","66,432.20","32,26,39,80,353"
22-10-2024,"67,360.70","67,801.58","66,581.37","67,361.41","67,361.41","31,80,84,72,566"
21-10-2024,"69,002.00","69,462.73","66,829.85","67,367.85","67,367.85","37,49,86,11,780"
20-10-2024,"68,364.18","69,359.01","68,105.72","69,001.70","69,001.70","18,97,58,47,518"
19-10-2024,"68,418.98","68,668.01","68,024.64","68,362.73","68,362.73","14,44,34,97,908"
18-10-2024,"67,419.11","68,969.75","67,177.82","68,418.79","68,418.79","36,85,71,65,014"
17-10-2024,"67,617.08","67,912.21","66,647.39","67,399.84","67,399.84","32,79,08,98,511"
16-10-2024,"67,042.46","68,375.29","66,758.73","67,612.72","67,612.72","38,19,51,89,534"
15-10-2024,"66,050.37","67,881.68","64,809.20","67,041.11","67,041.11","48,86,38,70,879"
14-10-2024,"62,848.40","66,482.49","62,442.15","66,046.13","66,046.13","43,70,69,58,056"
13-10-2024,"63,192.95","63,272.65","62,035.64","62,851.38","62,851.38","18,17,75,29,690"
12-10-2024,"62,444.62","63,448.79","62,443.27","63,193.02","63,193.02","16,74,41,10,886"
11-10-2024,"60,275.46","63,400.87","60,046.13","62,445.09","62,445.09","30,32,71,41,594"
10-10-2024,"60,581.93","61,236.72","58,895.21","60,274.50","60,274.50","30,45,28,13,570"
09-10-2024,"62,131.73","62,508.84","60,314.61","60,582.10","60,582.10","27,67,09,82,363"
08-10-2024,"62,221.64","63,174.30","61,843.56","62,131.97","62,131.97","28,13,44,75,157"
07-10-2024,"62,819.11","64,443.71","62,152.55","62,236.66","62,236.66","34,25,35,62,610"
06-10-2024,"62,084.99","62,959.57","61,833.15","62,818.95","62,818.95","14,77,62,33,667"
05-10-2024,"62,067.61","62,371.02","61,689.58","62,089.95","62,089.95","13,30,54,10,749"
04-10-2024,"60,754.63","62,465.99","60,459.94","62,067.48","62,067.48","29,58,54,72,513"
03-10-2024,"60,632.48","61,469.04","59,878.80","60,759.40","60,759.40","36,10,64,47,279"
02-10-2024,"60,836.32","62,357.69","59,996.95","60,632.79","60,632.79","40,76,27,22,398"
01-10-2024,"63,335.61","64,110.98","60,189.28","60,837.01","60,837.01","50,22,09,23,500"
30-09-2024,"65,634.66","65,635.05","62,873.62","63,329.50","63,329.50","37,11,29,57,475"
29-09-2024,"65,888.90","66,069.34","65,450.02","65,635.30","65,635.30","14,78,82,14,575"
28-09-2024,"65,792.18","66,255.53","65,458.04","65,887.65","65,887.65","15,24,36,37,984"
27-09-2024,"65,180.66","66,480.70","64,852.99","65,790.66","65,790.66","32,05,88,13,449"
26-09-2024,"63,138.55","65,790.80","62,669.27","65,181.02","65,181.02","36,87,31,29,847"
25-09-2024,"64,302.59","64,804.50","62,945.38","63,143.14","63,143.14","25,07,83,77,700"
24-09-2024,"63,326.84","64,695.21","62,737.42","64,301.97","64,301.97","29,93,83,35,243"
23-09-2024,"63,643.10","64,733.56","62,628.08","63,329.80","63,329.80","31,40,02,85,425"
22-09-2024,"63,396.80","63,993.42","62,440.73","63,648.71","63,648.71","20,18,33,48,802"
21-09-2024,"63,184.34","63,543.36","62,783.11","63,394.84","63,394.84","14,40,86,16,220"
20-09-2024,"62,941.43","64,119.53","62,364.61","63,192.98","63,192.98","35,17,71,64,222"
19-09-2024,"61,651.16","63,872.44","61,609.87","62,940.46","62,940.46","42,71,02,52,573"
18-09-2024,"60,309.00","61,664.07","59,218.25","61,649.68","61,649.68","40,99,07,02,891"
17-09-2024,"58,192.51","61,316.09","57,628.07","60,308.54","60,308.54","38,07,55,70,118"
16-09-2024,"59,185.23","59,205.51","57,501.34","58,192.51","58,192.51","32,03,28,22,113"
15-09-2024,"60,000.73","60,381.92","58,696.31","59,182.84","59,182.84","18,12,09,60,867"
14-09-2024,"60,569.12","60,656.72","59,517.88","60,005.12","60,005.12","16,42,84,05,496"
13-09-2024,"58,130.32","60,648.02","57,650.11","60,571.30","60,571.30","32,49,05,28,356"
12-09-2024,"57,343.17","58,534.36","57,330.10","58,127.01","58,127.01","33,83,57,07,949"
